grin_num_id;bayer_id;group;species;ACCESSION;NAME;TAXONOMY;ORIGIN;STEM.TERMINATION.TYPE;PUBESCENCE.COLOR;PROTEIN;PUBESCENCE.FORM;OIL;PUBESCENCE.DENSITY;SEED.COAT.LUSTER;POD.COLOR;FLOWER.COLOR;SEED.COAT.COLOR;HILUM.COLOR;MATURITY.GROUP;stem_termination_all;stem_termination_sn;pubescence_color_all;pubescence_color_nogray;protein;pubescence_form_all;pubescence_form_noerect;oil;pubescence_density;seed_coat_luster_all;seed_coat_luster_nointermediate;seed_coat_luster_dullshiny;pod_color_all;pod_color_blbr;flower_color;seed_coat_color_all;seed_coat_color_greenyellow;hilum_color_all;hilum_color_blackbrown;hilum_color_rbr;maturity_group;corrected_dry_weight;N_CDW
1097822;USB-059;Landrace;G. max;FC29333;Laredo;Glycine max (L.) Merr.;Unknown;N – Indeterminate (stem tapering gradually toward tip);G – Gray;40.9;E – Erect on leaf surface;20.4;N – Normal density;S – Shiny;Br – Brown;W – White;Y – Yellow;Bf – Buff;III – MATURITY GROUP III;3;2;1;NA;40.9;3;NA;20.4;1;5;4;2;2;1;2;1;1;3;NA;NA;2;0.31;1
1102242;USB-414;Landrace;G. max;FC31571;Kirin;Glycine max (L.) Merr.;China;N – Indeterminate (stem tapering gradually toward tip);G – Gray;42.8;E – Erect on leaf surface;19.2;N – Normal density;D – Dull;Br – Brown;W – White;Y – Yellow;Bf – Buff;III – MATURITY GROUP III;3;2;1;NA;42.8;3;NA;19.2;1;2;2;1;2;1;2;1;1;3;NA;NA;2;0.25;1
1102461;USB-060;Landrace;G. max;FC31697;NA;Glycine max (L.) Merr.;Costa Rica;N – Indeterminate (stem tapering gradually toward tip);G – Gray;40.8;E – Erect on leaf surface;20.4;N – Normal density;S – Shiny;Br – Brown;P – Purple;Y – Yellow;Ib – Imperfect black;IV – MATURITY GROUP IV;3;2;1;NA;40.8;3;NA;20.4;1;5;4;2;2;1;1;1;1;6;NA;NA;3;0.42;1
1103892;USB-002;Landrace;G. max;FC33243;Anderson;Glycine max (L.) Merr.;Unknown;N – Indeterminate (stem tapering gradually toward tip);G – Gray;39.8;E – Erect on leaf surface;21.4;N – Normal density;S – Shiny;Br – Brown;W – White;Y – Yellow;Y – Yellow;IV – MATURITY GROUP IV;3;2;1;NA;39.8;3;NA;21.4;1;5;4;2;2;1;2;1;1;1;NA;NA;3;0.49;1
1109197;USB-061;Landrace;G. max;PI54591;No. 31;Glycine max (L.) Merr.;Liaoning Sheng, China;N – Indeterminate (stem tapering gradually toward tip);T – Tawny;41.5;E – Erect on leaf surface;19.8;N – Normal density;D – Dull;Tn – Tan;P – Purple;Y – Yellow;Tn – Tan;III – MATURITY GROUP III;3;2;2;1;41.5;3;NA;19.8;1;2;2;1;1;NA;1;1;1;NA;NA;NA;2;0.42;1
1109224;USB-063;Landrace;G. max;PI54614;No. 54;Glycine max (L.) Merr.;Jilin Sheng, China;N – Indeterminate (stem tapering gradually toward tip);G – Gray;44;E – Erect on leaf surface;20.1;N – Normal density;S – Shiny;Br – Brown;P – Purple;Y – Yellow;Ib – Imperfect black;IV – MATURITY GROUP IV;3;2;1;NA;44;3;NA;20.1;1;5;4;2;2;1;1;1;1;6;NA;NA;3;0.45;1
1111676;USB-065;Landrace;G. max;PI58955;Common Yellow Variety;Glycine max (L.) Merr.;Shandong Sheng, China;N – Indeterminate (stem tapering gradually toward tip);G – Gray;41.1;E – Erect on leaf surface;20.6;N – Normal density;I – Intermediate (between dull and shiny);Br – Brown;W – White;Y – Yellow;Bf – Buff;IV – MATURITY GROUP IV;3;2;1;NA;41.1;3;NA;20.6;1;3;NA;NA;2;1;2;1;1;3;NA;NA;3;0.54;1
1111913;USB-418;Landrace;G. max;PI60970;Huang do;Glycine max (L.) Merr.;China;N – Indeterminate (stem tapering gradually toward tip);G – Gray;43.8;E – Erect on leaf surface;18.4;N – Normal density;S – Shiny;Dbr – Dark brown;W – White;Y – Yellow;Bf – Buff;IV – MATURITY GROUP IV;3;2;1;NA;43.8;3;NA;18.4;1;5;4;2;3;NA;2;1;1;3;NA;NA;3;0.19;1
1112179;USB-066;Landrace;G. max;PI62203;937;Glycine max (L.) Merr.;Hebei Sheng, China;N – Indeterminate (stem tapering gradually toward tip);G – Gray;44.6, 40.6;Sa – Semi-appressed (between erect and appressed);19.8, 20.2;N – Normal density;I – Intermediate (between dull and shiny);Tn – Tan;W – White;Y – Yellow;Bf – Buff;V – MATURITY GROUP V;3;2;1;NA;42.6;2;2;20;1;3;NA;NA;1;NA;2;1;1;3;NA;NA;4;0.52;1
1114312;USB-421;Landrace;G. max;PI68423;5823;Glycine max (L.) Merr.;Heilongjiang Sheng, China;N – Indeterminate (stem tapering gradually toward tip);G – Gray;43.7;E – Erect on leaf surface;20.7;N – Normal density;S – Shiny;Br – Brown;P – Purple;Y – Yellow;Ig – Imperfect gray;III – MATURITY GROUP III;3;2;1;NA;43.7;3;NA;20.7;1;5;4;2;2;1;1;1;1;NA;NA;NA;2;0.47;1
