"Run","spots","bases","avgLength","size_MB","BioProject","LibraryName","Model","Sample","BioSample","SampleName","CenterName","RunHash"
"SRR12190607",93682234,23420558500,250,13020,"PRJNA639876","HNY-29_FCC7F9KANXX_L7_wHAIPI 021280-80_1","Illumina HiSeq 4000","SRS6981950","SAMN15499805","HNY-29","UNIVERSITY OF WESTERN AUSTRALIA","D2BEA9FBB6D95CEE3F7E42BA72ACDF1C"
"SRR12336158",49071170,9814234000,200,7205,"PRJNA639876","USB-223_FCC4HJFACXX_L2_WHAIPI 004016-94_1","Illumina HiSeq 4000","SRS7099754","SAMN15658248","USB-223","UNIVERSITY OF WESTERN AUSTRALIA","DF266DE23B4465BDE1530071EF30E1D9"
"SRR12336159",48630016,9726003200,200,7136,"PRJNA639876","USB-223_FCC4HJFACXX_L1_WHAIPI 004016-94_1","Illumina HiSeq 4000","SRS7099754","SAMN15658248","USB-223","UNIVERSITY OF WESTERN AUSTRALIA","37668972440BD1A8734675B0F37D7997"
"SRR12335888",44383438,8876687600,200,6416,"PRJNA639876","USB-253_FCC4HP1ACXX_L3_WHAIPI 004030-111_1","Illumina HiSeq 4000","SRS7099627","SAMN15658271","USB-253","UNIVERSITY OF WESTERN AUSTRALIA","7E9D2850535ECDCCC061F172AC7AA95F"
"SRR12335886",45951247,9190249400,200,6772,"PRJNA639876","USB-253_FCC4HP1ACXX_L4_WHAIPI 004030-111_1","Illumina HiSeq 4000","SRS7099627","SAMN15658271","USB-253","UNIVERSITY OF WESTERN AUSTRALIA","6E17AEA869B8DB7E2CF8C8C75AFDC79C"
"SRR12190474",25205041,4536907380,180,3488,"PRJNA639876","HN088_130525_I878_FCC1WJYACXX_L8_SZAIPI 028442-64_1","Illumina HiSeq 4000","SRS6981999","SAMN15499689","HN088","UNIVERSITY OF WESTERN AUSTRALIA","8D52A3C8B9BFA56B153E76D8E105E5FF"
"SRR12190475",26463564,4763441520,180,3649,"PRJNA639876","HN088_130525_I878_FCC1WJYACXX_L7_SZAIPI 028442-64_1","Illumina HiSeq 4000","SRS6981999","SAMN15499689","HN088","UNIVERSITY OF WESTERN AUSTRALIA","1925603BA119FBB16127C3D8D278978F"
"SRR12190476",25175803,4531644540,180,3484,"PRJNA639876","HN088_130525_I878_FCC1WJYACXX_L6_SZAIPI 028442-64_1","Illumina HiSeq 4000","SRS6981999","SAMN15499689","HN088","UNIVERSITY OF WESTERN AUSTRALIA","6178BA9C46232DB2AC9BC88D06E1BC70"
"SRR12335997",22696838,4539367600,200,2992,"PRJNA639876","USB-284_FCC4LUGACXX_L3_WHAIPI 003934-26_1","Illumina HiSeq 4000","SRS7099826","SAMN15658298","USB-284","UNIVERSITY OF WESTERN AUSTRALIA","4050EBB66BFF7C43B8CE7FF1F428F99E"
"SRR12335998",36522828,7304565600,200,5170,"PRJNA639876","USB-284_FCC4L4LACXX_L4_WHAIPI 003934-26_1","Illumina HiSeq 4000","SRS7099826","SAMN15658298","USB-284","UNIVERSITY OF WESTERN AUSTRALIA","9ADCC99DF9A7A3588B1D21A25D82DAE5"
"SRR12335999",32190903,6438180600,200,4466,"PRJNA639876","USB-284_FCC4L4LACXX_L3_WHAIPI 003934-26_1","Illumina HiSeq 4000","SRS7099826","SAMN15658298","USB-284","UNIVERSITY OF WESTERN AUSTRALIA","6797D75D23AA9EB173CCE4A04E028011"
"SRR12191422",98586087,17745495660,180,11840,"PRJNA639876","HN019_FCC1L0TACXX_L8_SZAIPI 024882-24_1","Illumina HiSeq 4000","SRS6982243","SAMN15499621","HN019","UNIVERSITY OF WESTERN AUSTRALIA","C55D7B03F7CB4273B6DC8F648C2112B9"
"SRR12190677",94629592,17033326560,180,11225,"PRJNA639876","HN002_FCD1P1JACXX_L6_SZAIPI 024837-133_1","Illumina HiSeq 4000","SRS6981903","SAMN15499605","HN002","UNIVERSITY OF WESTERN AUSTRALIA","5261D4E7000FCB0930A9BCB52A7D7AAF"
"SRR12335966",44571894,8914378800,200,6735,"PRJNA639876","USB-303_FCC4NA0ACXX_L6_WHAIPI 003948-42_1","Illumina HiSeq 4000","SRS7099840","SAMN15658312","USB-303","UNIVERSITY OF WESTERN AUSTRALIA","A36078828CAD57425DCF5EE037BAAEB8"
"SRR12335968",44240078,8848015600,200,6673,"PRJNA639876","USB-303_FCC4NA0ACXX_L5_WHAIPI 003948-42_1","Illumina HiSeq 4000","SRS7099840","SAMN15658312","USB-303","UNIVERSITY OF WESTERN AUSTRALIA","720F6588455F8A93FFCB799466EFEE10"
"SRR12336033",43609185,8721837000,200,6562,"PRJNA639876","USB-068_FCC3U9UACXX_L3_WHAIPI 001945-23_1","Illumina HiSeq 4000","SRS7099810","SAMN15658116","USB-068","UNIVERSITY OF WESTERN AUSTRALIA","58BF52B94A96756624C919E9B9A54723"
"SRR12336034",43791304,8758260800,200,6575,"PRJNA639876","USB-068_FCC3U9UACXX_L2_WHAIPI 001945-23_1","Illumina HiSeq 4000","SRS7099810","SAMN15658116","USB-068","UNIVERSITY OF WESTERN AUSTRALIA","1E1E992C0DB4DEB18ECEB11E4A577CF9"
"SRR12336035",44822192,8964438400,200,6735,"PRJNA639876","USB-068_FCC3U9UACXX_L1_WHAIPI 001945-23_1","Illumina HiSeq 4000","SRS7099810","SAMN15658116","USB-068","UNIVERSITY OF WESTERN AUSTRALIA","09A68D46E78EF51CB0E16960CCD4DA96"
"SRR12190697",26192634,4714674120,180,3679,"PRJNA639876","HN064_130525_I861_FCD20E0ACXX_L5_SZAIPI 028346-108_1","Illumina HiSeq 4000","SRS6981887","SAMN15499665","HN064","UNIVERSITY OF WESTERN AUSTRALIA","8892E100DDCA1A23D33373DBEF200414"
"SRR12190698",24931618,4487691240,180,3521,"PRJNA639876","HN064_130525_I861_FCD20E0ACXX_L4_SZAIPI 028346-108_1","Illumina HiSeq 4000","SRS6981887","SAMN15499665","HN064","UNIVERSITY OF WESTERN AUSTRALIA","09F64CB1D14C6AA33F52B3377B2F51C1"
"SRR12190699",26195528,4715195040,180,3674,"PRJNA639876","HN064_130517_I585_FCC22GCACXX_L1_SZAIPI 028346-108_1","Illumina HiSeq 4000","SRS6981887","SAMN15499665","HN064","UNIVERSITY OF WESTERN AUSTRALIA","95DE6F0D6F4F543CC235F70D7C80C823"
"SRR12190692",25022035,4503966300,180,3501,"PRJNA639876","HN066_130525_I861_FCD20E0ACXX_L5_SZAIPI 028347-113_1","Illumina HiSeq 4000","SRS6981890","SAMN15499667","HN066","UNIVERSITY OF WESTERN AUSTRALIA","36D93AD83654912C20D64702744B2E4E"
"SRR12190693",25006125,4501102500,180,3517,"PRJNA639876","HN066_130525_I861_FCD20E0ACXX_L4_SZAIPI 028347-113_1","Illumina HiSeq 4000","SRS6981890","SAMN15499667","HN066","UNIVERSITY OF WESTERN AUSTRALIA","AA2DAF7709EB516B2FE0DB22049CC350"
"SRR12190694",26273132,4729163760,180,3658,"PRJNA639876","HN066_130517_I585_FCC22GCACXX_L1_SZAIPI 028347-113_1","Illumina HiSeq 4000","SRS6981890","SAMN15499667","HN066","UNIVERSITY OF WESTERN AUSTRALIA","25E95F7EDA63D0AC02F494A47B2CA9B4"
"SRR12190914",26391391,4750450380,180,3669,"PRJNA639876","HN070_130525_I861_FCC1WEAACXX_L2_SZAIPI 028350-133_1","Illumina HiSeq 4000","SRS6982050","SAMN15499671","HN070","UNIVERSITY OF WESTERN AUSTRALIA","E54AE0A8664345903FC632C62626619D"
"SRR12190915",26354074,4743733320,180,3664,"PRJNA639876","HN070_130525_I861_FCC1WEAACXX_L1_SZAIPI 028350-133_1","Illumina HiSeq 4000","SRS6982050","SAMN15499671","HN070","UNIVERSITY OF WESTERN AUSTRALIA","10E738A7B283776B196BA8EAE6351ACF"
"SRR12190916",23415139,4214725020,180,3327,"PRJNA639876","HN070_130517_I585_FCC22GCACXX_L2_SZAIPI 028350-133_1","Illumina HiSeq 4000","SRS6982050","SAMN15499671","HN070","UNIVERSITY OF WESTERN AUSTRALIA","5023AFF6631AE009C417CCC4DBD5F1F1"
"SRR12335657",36734761,7346952200,200,5081,"PRJNA639876","USB-127_FCC3U5FACXX_L3_WHAIPI 001992-55_1","Illumina HiSeq 4000","SRS7099730","SAMN15658168","USB-127","UNIVERSITY OF WESTERN AUSTRALIA","00E5FE0CA842B66AED064B96A050B4DB"
"SRR12335658",36714832,7342966400,200,5055,"PRJNA639876","USB-127_FCC3U5FACXX_L2_WHAIPI 001992-55_1","Illumina HiSeq 4000","SRS7099730","SAMN15658168","USB-127","UNIVERSITY OF WESTERN AUSTRALIA","A6E6058389C16D7939D4A5CC129D610C"
"SRR12335659",36638704,7327740800,200,5049,"PRJNA639876","USB-127_FCC3U5FACXX_L1_WHAIPI 001992-55_1","Illumina HiSeq 4000","SRS7099730","SAMN15658168","USB-127","UNIVERSITY OF WESTERN AUSTRALIA","6E48BE11532FB09BE7CB1595EFD4035E"
"SRR12190463",26069820,4692567600,180,3611,"PRJNA639876","HN092_130522_I162_FCD20D7ACXX_L3_SZAIPI 028445-78_1","Illumina HiSeq 4000","SRS6982004","SAMN15499693","HN092","UNIVERSITY OF WESTERN AUSTRALIA","9C0AF39351BE0D65A0AAD0F654BBC8EA"
"SRR12190464",28511601,5132088180,180,3962,"PRJNA639876","HN092_130522_I162_FCD20D7ACXX_L2_SZAIPI 028445-78_1","Illumina HiSeq 4000","SRS6982004","SAMN15499693","HN092","UNIVERSITY OF WESTERN AUSTRALIA","C7ECEB50464D19FD7B9D68B548957291"
"SRR12190465",22311527,4016074860,180,3221,"PRJNA639876","HN092_130518_I581_FCD2468ACXX_L8_SZAIPI 028320-78_1","Illumina HiSeq 4000","SRS6982004","SAMN15499693","HN092","UNIVERSITY OF WESTERN AUSTRALIA","6858B65013C118C5908A355479FD65EA"
"SRR12336114",37012209,7402441800,200,5258,"PRJNA639876","USB-310_FCC4JCNACXX_L4_WHAIPI 003954-48_1","Illumina HiSeq 4000","SRS7099772","SAMN15658318","USB-310","UNIVERSITY OF WESTERN AUSTRALIA","242A86EDDA420F1C969BE98D343AF29A"
"SRR12336115",37162623,7432524600,200,5276,"PRJNA639876","USB-310_FCC4JCNACXX_L3_WHAIPI 003954-48_1","Illumina HiSeq 4000","SRS7099772","SAMN15658318","USB-310","UNIVERSITY OF WESTERN AUSTRALIA","97420CC035F5E780B61867B325434206"
"SRR12336111",36420583,7284116600,200,5119,"PRJNA639876","USB-310_FCC4JMEACXX_L4_WHAIPI 003954-48_1","Illumina HiSeq 4000","SRS7099772","SAMN15658318","USB-310","UNIVERSITY OF WESTERN AUSTRALIA","0A1522B2D48545A1748AE619675DEFE2"
