ESS SRR12191283;SRR12191295
HN001 SRR12190837
HN002 SRR12190677
HN003 SRR2163295
HN004 SRR2163296
HN005 SRR2163297
HN006 SRR2163298
HN007 SRR2163299
HN008 SRR2163300
HN009 SRR2163301
HN010 SRR2163302
HN012 SRR2163304
HN015 SRR2163307
HN016B SRR12191128;SRR12190639;SRR12190650
HN017B SRR12191105;SRR12191116;SRR12190749
HN018 SRR2163310
HN019 SRR12191422
HN021 SRR2163313
HN022 SRR2163314
HN023 SRR2163315
HN024 SRR2163316
HN025 SRR2163317
HN026 SRR2163318
HN028 SRR12190761;SRR12190598;SRR12190587
HN029 SRR12190526;SRR12190537;SRR12190576
HN030 SRR12191343;SRR12191049;SRR12190515
HN033 SRR12191097;SRR12191139;SRR12191150
HN035 SRR12191052;SRR12191030;SRR12191041
HN036 SRR12190950;SRR12191019
HN038 SRR12191331;SRR12190723;SRR12190734
HN041 SRR12191004;SRR12191005;SRR12191006
HN042 SRR12191001;SRR12191002;SRR12191003
HN043 SRR12190999;SRR12191000;SRR12190997
HN044 SRR12190994;SRR12190995;SRR12190996
HN047 SRR12190984;SRR12190985;SRR12190986
HN048 SRR12190981;SRR12190982;SRR12190983
HN049 SRR12190514;SRR12190511;SRR12190512
HN051 SRR12190506;SRR12190507;SRR12190508
HN055 SRR12190495;SRR12190496;SRR12190497
HN056 SRR12190492;SRR12190493;SRR12190494
HN057 SRR12190489;SRR12190490;SRR12190491
HN058 SRR12190488;SRR12190485;SRR12190486
HN060 SRR12190710;SRR12190711;SRR12190712
HN061 SRR12190706;SRR12190708;SRR12190709
HN062 SRR12190703;SRR12190704;SRR12190705
HN064 SRR12190697;SRR12190698;SRR12190699
HN065 SRR2163356
HN066 SRR12190692;SRR12190693;SRR12190694
HN067 SRR2163358
HN068 SRR12190688;SRR12190689;SRR12190690
HN069 SRR12190917;SRR12190919;SRR12190920
HN070 SRR12190914;SRR12190915;SRR12190916
HN072 SRR12190908;SRR12190909;SRR12190910
HN073 SRR12190904;SRR12190905;SRR12190906
HN074 SRR12190901;SRR12190902;SRR12190903
HN075 SRR12190898;SRR12190899;SRR12190900
HN076 SRR12190897;SRR12190893;SRR12190894
HN077 SRR12190569;SRR12190570;SRR12190571
HN078 SRR12190566;SRR12190567;SRR12190568
HN079 SRR12190564;SRR12190565;SRR12190562
HN080 SRR12190559;SRR12190560;SRR12190561
HN082 SRR12190553;SRR12190554;SRR12190555
HN083 SRR12190549;SRR12190550;SRR12190551
HN084 SRR12190546;SRR12190547;SRR12190548
HN085 SRR12190484;SRR12190544;SRR12190545
HN086 SRR12190483;SRR12190480;SRR12190481
HN087 SRR12190477;SRR12190478;SRR12190479
HN088 SRR12190474;SRR12190475;SRR12190476
HN089 SRR12190472;SRR12190473;SRR12190470
HN091 SRR12190466;SRR12190467;SRR12190468
HN092 SRR12190463;SRR12190464;SRR12190465
HN093 SRR12190461;SRR12190462;SRR12190459
HN094 SRR12190836;SRR12190457;SRR12190458
HN095 SRR2163386
HN096 SRR12190832;SRR12190833;SRR12190834
HN097 SRR12190830;SRR12190831;SRR12190828
HN098 SRR12190825;SRR12190826;SRR12190827
HN099 SRR12190822;SRR12190823;SRR12190824
HN106 SRR2163397
HN107 SRR2163398
HNSM-25 SRR12190680
HNY-29 SRR12190607
SRR1533279 SRR1533279
SRR1533297 SRR1533297
SRR1533345 SRR1533345
SRR1533351 SRR1533351
SRR1533362 SRR1533362
SRR1533371 SRR1533371
SRR1533384 SRR1533384
SRR1533389 SRR1533389
SRR1533395 SRR1533395
SRR1533415 SRR1533415
USB-002 SRR12190925
USB-003 SRR12190921;SRR12190922;SRR12190923;SRR12190924
USB-013 SRR12190867;SRR12190865;SRR12190743
USB-016 SRR12190736
USB-017 SRR12190735;SRR12190731;SRR12190732;SRR12190733
USB-018 SRR12190728;SRR12190729;SRR12190730
USB-020 SRR12190724;SRR12190725;SRR12190726;SRR12190727
USB-022 SRR12190718;SRR12190719;SRR12190720;SRR12190721
USB-023 SRR12190717
USB-025 SRR12191332;SRR12191333;SRR12191334;SRR12191330
USB-026 SRR12191326;SRR12191327;SRR12191328;SRR12191329
USB-029 SRR12191316;SRR12191317;SRR12191318;SRR12191319;SRR12191321
USB-032 SRR12191308;SRR12191310;SRR12191311
USB-037 SRR12190790;SRR12190791;SRR12190792;SRR12190793;SRR12190794
USB-038 SRR12190789;SRR12190784;SRR12190785;SRR12190786;SRR12190787
USB-040 SRR12336027;SRR12336038;SRR12336049;SRR12335671;SRR12335847
USB-041 SRR12335947;SRR12335958;SRR12335912;SRR12335923;SRR12335934
USB-042 SRR12335757;SRR12335768;SRR12335779
USB-044 SRR12336088;SRR12336099;SRR12335640;SRR12335712;SRR12335701
USB-048 SRR12336011;SRR12335809;SRR12335821;SRR12335832;SRR12335887
USB-050 SRR12336124;SRR12336113;SRR12335682;SRR12335693
USB-052 SRR12335670;SRR12335732;SRR12335743
USB-059 SRR12335855;SRR12335856;SRR12335857
USB-060 SRR12336048;SRR12335853;SRR12335854
USB-061 SRR12336047
USB-063 SRR12336045
USB-064 SRR12336044
USB-065 SRR12336041;SRR12336042;SRR12336043
USB-066 SRR12336037;SRR12336039;SRR12336040
USB-067 SRR12336036
USB-068 SRR12336033;SRR12336034;SRR12336035
USB-069 SRR12336032
USB-070 SRR12336029;SRR12336030;SRR12336031
USB-071 SRR12336028;SRR12336026
USB-072 SRR12336023;SRR12336024;SRR12336025
USB-073 SRR12336022
USB-074 SRR12335850;SRR12335851;SRR12335852
USB-075 SRR12335848;SRR12335849;SRR12335846
USB-076 SRR12335845
USB-077 SRR12335842;SRR12335843;SRR12335844
USB-079 SRR12335838;SRR12335839;SRR12335840
USB-080 SRR12335837;SRR12335932;SRR12335933
USB-081 SRR12335929;SRR12335930;SRR12335931
USB-085 SRR12335922;SRR12335924;SRR12335925
USB-086 SRR12335921
USB-091 SRR12335914
USB-092 SRR12335913
USB-094 SRR12335965;SRR12335909;SRR12335910
USB-095 SRR12335962;SRR12335963;SRR12335964
USB-096 SRR12335961
USB-097 SRR12335959;SRR12335960;SRR12335957
USB-100 SRR12335955
USB-102 SRR12335951;SRR12335952;SRR12335953
USB-109 SRR12335942
USB-116 SRR12335772;SRR12335773
USB-119 SRR12335765;SRR12335766;SRR12335767
USB-127 SRR12335657;SRR12335658;SRR12335659
USB-128 SRR12335656
USB-143 SRR12335718;SRR12335719;SRR12335720
USB-146 SRR12335713
USB-147 SRR12335711
USB-151 SRR12335703
USB-153 SRR12335698
USB-156 SRR12336102
USB-158 SRR12336100;SRR12336097;SRR12336098
USB-161 SRR12336094
USB-162 SRR12336091;SRR12336092;SRR12336093
USB-163 SRR12336090
USB-167 SRR12336085;SRR12336086;SRR12336087
USB-169 SRR12336083
USB-171 SRR12336079;SRR12336080;SRR12336081
USB-183 SRR12336168;SRR12336169;SRR12336170
USB-185 SRR12336163
USB-196 SRR12335791;SRR12335793
USB-206 SRR12336075;SRR12336076
USB-207 SRR12336072;SRR12336073;SRR12336074
USB-208 SRR12336071
USB-212 SRR12336064;SRR12336065
USB-214 SRR12336061;SRR12336062
USB-217 SRR12336056;SRR12336057
USB-221 SRR12336050
USB-222 SRR12336160;SRR12336161
USB-223 SRR12336158;SRR12336159
USB-228 SRR12336152;SRR12336153
USB-233 SRR12336142;SRR12336143
USB-235 SRR12336138;SRR12336139
USB-236 SRR12336137
USB-242 SRR12335904;SRR12335905
USB-245 SRR12335902;SRR12335903
USB-249 SRR12335896;SRR12335897
USB-250 SRR12335895
USB-251 SRR12335891;SRR12335892;SRR12335893;SRR12335894
USB-252 SRR12335889;SRR12335890
USB-253 SRR12335888;SRR12335886
USB-257 SRR12335835
USB-258 SRR12335833;SRR12335834
USB-259 SRR12335830;SRR12335831
USB-261 SRR12335826
USB-271 SRR12335811;SRR12335812
USB-272 SRR12336019;SRR12336020;SRR12336021
USB-274 SRR12336017;SRR12336018
USB-277 SRR12336013;SRR12336014
USB-282 SRR12336003;SRR12336004;SRR12336005
USB-284 SRR12335997;SRR12335998;SRR12335999
USB-285 SRR12335996
USB-287 SRR12335991;SRR12335992
USB-298 SRR12335973;SRR12335974
USB-301 SRR12335971;SRR12335972
USB-302 SRR12335969;SRR12335970
USB-303 SRR12335966;SRR12335968
USB-304 SRR12336132;SRR12336133
USB-306 SRR12336129;SRR12336130;SRR12336131
USB-307 SRR12336125;SRR12336126;SRR12336127;SRR12336128
USB-310 SRR12336114;SRR12336115;SRR12336111;SRR12336112
USB-312 SRR12336106;SRR12335694;SRR12335695;SRR12335696
USB-313 SRR12335689;SRR12335690;SRR12335691;SRR12335692
USB-314 SRR12335685;SRR12335686;SRR12335687;SRR12335688
USB-315 SRR12335683;SRR12335684
USB-316 SRR12335678;SRR12335679;SRR12335680;SRR12335681
USB-318 SRR12335672;SRR12335673
USB-319 SRR12335669;SRR12335750;SRR12335751;SRR12335752
USB-320 SRR12335748;SRR12335749
USB-322 SRR12335746;SRR12335747
USB-323 SRR12335744;SRR12335745
USB-324 SRR12335741;SRR12335742
USB-325 SRR12335739;SRR12335740
USB-326 SRR12335737;SRR12335738
USB-327 SRR12335735;SRR12335736
USB-330 SRR12335729;SRR12335730;SRR12335731
USB-338 SRR12335867;SRR12335864;SRR12335865
USB-341 SRR12335860;SRR12335861
USB-342 SRR12335858;SRR12335859
USB-345 SRR12366191;SRR12366192
USB-346 SRR12366487;SRR12366266
USB-347 SRR12366375;SRR12366549
USB-354 SRR12366369;SRR12366347;SRR12366358;SRR12366237
USB-357 SRR12366509;SRR12366226
USB-358 SRR12366308;SRR12366486;SRR12366498
USB-363 SRR12366448;SRR12366265
USB-364 SRR12366437;SRR12366159
USB-366 SRR12366137;SRR12366148
USB-367 SRR12366114;SRR12366126
USB-368 SRR12366397;SRR12366386
USB-372 SRR12366552;SRR12366553
USB-375 SRR12366545;SRR12366546
USB-376 SRR12366543;SRR12366544
USB-377 SRR12366540;SRR12366541;SRR12366542
USB-378 SRR12366427;SRR12366539
USB-381 SRR12366424;SRR12366425;SRR12366426
USB-382 SRR12366422;SRR12366423
USB-383 SRR12366420;SRR12366421
